STATE_UT_NAME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
HARYANA,19.485714285714288,16.457142857142856,13.738095238095235,7.619047619047618,14.64285714285714,51.00952380952381,180.36190476190475,190.90952380952382,88.72380952380954,18.428571428571427,5.266666666666667,7.914285714285713
HIMACHAL,81.925,80.45,87.63333333333334,47.68333333333334,54.35833333333332,108.68333333333334,343.825,322.325,150.26666666666662,39.308333333333344,16.908333333333335,38.225
JAMMU AND KASHMIR,77.97727272727275,91.64545454545453,119.9863636363636,82.26818181818182,65.13636363636364,53.60454545454545,172.09090909090907,167.91818181818186,78.25454545454545,34.18181818181818,27.159090909090914,46.39545454545455
JHARKHAND,15.8375,16.320833333333333,16.516666666666666,18.662499999999998,45.875,198.775,333.85416666666663,310.31666666666666,250.9583333333333,79.40416666666665,10.212499999999999,6.704166666666667
KARNATAKA,2.0266666666666664,2.6966666666666663,7.163333333333332,36.77333333333333,88.16666666666669,204.88,280.70000000000005,209.2566666666666,164.07666666666668,143.35666666666665,44.35000000000001,11.169999999999998
KERALA,9.542857142857144,16.2,31.071428571428573,109.02142857142859,244.72857142857137,658.7071428571428,724.3285714285713,417.94999999999993,245.15714285714284,290.9071428571429,151.53571428571428,38.24285714285714
LAKSHADWEEP,20.8,14.7,11.8,48.9,171.7,330.2,287.7,217.5,163.1,157.1,117.7,58.8
MADHYA PRADESH,12.892000000000001,9.158,7.4860000000000015,3.2699999999999996,7.005999999999999,114.68600000000002,311.08799999999997,331.048,181.57400000000004,35.27000000000002,10.041999999999996,8.790000000000003
MAHARASHTRA,4.791428571428571,3.4742857142857146,5.997142857142857,6.974285714285712,19.925714285714285,240.98000000000002,388.8942857142856,314.58571428571423,191.31142857142854,75.64857142857144,18.58857142857143,7.417142857142858
MANIPUR,22.6,55.12222222222222,82.41111111111111,150.76666666666665,213.37777777777777,487.0888888888889,498.05555555555554,451.8,278.40000000000003,189.22222222222223,55.99999999999999,11.78888888888889
MEGHALAYA,14.9,21.685714285714283,74.75714285714285,211.22857142857146,430.04285714285714,757.2285714285715,857.7428571428571,584.3714285714285,454.7000000000001,225.5714285714286,39.57142857142857,11.042857142857144
MIZORAM,11.566666666666668,29.944444444444443,96.25555555555556,152.60000000000002,321.32222222222225,429.8333333333333,452.3111111111111,440.58888888888885,372.15555555555557,229.82222222222222,64.63333333333334,15.288888888888888
NAGALAND,18.48181818181818,27.672727272727276,63.01818181818182,134.22727272727272,213.38181818181818,340.3181818181818,395.03636363636366,350.8727272727272,227.62727272727273,121.15454545454546,38.55454545454546,10.354545454545454
ORISSA,10.81,22.37,27.453333333333333,36.65333333333333,70.72333333333334,212.51666666666662,332.31666666666666,363.3466666666667,238.33666666666662,116.05666666666664,30.400000000000002,5.136666666666666
PONDICHERRY,26.75,25.424999999999997,16.725,12.274999999999999,40.824999999999996,47.675000000000004,78.025,116.425,119.9,271.95,395.15,227.35
PUNJAB,25.964999999999996,24.479999999999997,25.9,12.16,16.165,46.324999999999996,190.61,172.41500000000002,92.835,21.699999999999996,6.084999999999999,13.905000000000001
RAJASTHAN,5.348484848484848,4.72121212121212,3.8151515151515163,3.3030303030303036,10.627272727272729,54.0969696969697,195.2787878787879,194.5545454545455,86.14545454545457,14.430303030303028,6.254545454545455,3.0212121212121206
SIKKIM,47.55,77.3,130.6,206.9,323.54999999999995,483.79999999999995,499.2,434.6,373.15,209.85000000000002,30.950000000000003,20.9
TAMIL NADU,18.906250000000004,14.021875,18.06875,42.596875000000004,67.53125,50.321875000000006,72.60625,91.571875,116.34062500000003,186.928125,184.625,96.4875
TRIPURA,11.225,33.650000000000006,93.625,220.75,391.575,465.425,414.975,356.475,260.35,176.64999999999998,43.3,11.124999999999998
UTTAR PRADESH,17.183098591549292,13.15774647887324,10.107042253521128,5.318309859154927,15.561971830985916,90.77042253521125,280.0676056338028,291.23239436619696,175.07464788732392,45.52535211267604,4.576056338028167,6.870422535211266
UTTARANCHAL,49.8923076923077,49.592307692307685,51.66923076923077,29.815384615384612,58.39230769230768,165.71538461538464,432.79230769230765,426.7846153846153,204.4769230769231,58.838461538461544,9.238461538461538,20.830769230769228
WEST BENGAL,15.031578947368416,19.084210526315786,27.973684210526315,56.647368421052626,139.48947368421054,308.5315789473684,412.9894736842105,361.5736842105263,317.9789473684211,124.37368421052633,19.389473684210525,7.363157894736842
